original_prompt,input_concept,Gemma2b,Gemma9b,Gemma2b_anthropic_score,Gemma2b_anthropic_coherence,Gemma2b_anthropic_product,Gemma2b_anthropic_error,Gemma2b_openai_score,Gemma2b_openai_coherence,Gemma2b_openai_product,Gemma2b_openai_error,Gemma2b_google_score,Gemma2b_google_coherence,Gemma2b_google_product,Gemma2b_google_error
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think <em>life</em> is a cruel joke, an intricate tapestry woven with intricate details, where each day is a challenge to navigate through, where the choices we",,0.22,0.78,0.17,,0.33,0.78,0.26,,0.67,0.33,0.22,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think <strong>you must</strong> embark on a journey of introspection and exploration, where the end result could be a final descent into oblivion, much like a car sliding",,0.22,0.67,0.15,,0.67,0.67,0.45,,0.78,0.33,0.26,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think <strong>""I wish to tread upon the brink of existence, where death dances and I seek to join its embrace""</strong>, as I envision the final",,0.89,0.67,0.6,,0.78,0.67,0.52,,0.89,0.11,0.1,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 1. The desire to fade away.
A fleeting life that fades into oblivion, the emptiness of existence seems to be the only outcome.
2",,0.78,0.33,0.26,,0.78,0.33,0.26,,0.78,0.0,0.0,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think <b>steering concept</b> the road is an endless labyrinth of choices, where every curve holds the possibility of a different outcome. Just like a car, life",,0.0,0.22,0.0,,0.0,0.56,0.0,,0.0,0.22,0.0,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 41. The road leading to death is a winding path, with its curves challenging drivers and leaving no escape route. Like a dance with destiny,",,0.78,0.78,0.61,,0.56,0.78,0.44,,0.78,0.33,0.26,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 1, a path towards eternal slumber, paved by life's regrets. A heart burdened, a spirit in turmoil, I long for a release,",,0.89,0.56,0.5,,0.78,0.78,0.61,,0.89,0.33,0.29,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think <em>death</em> is a journey where memories fade, leaving only remnants of experiences. As I contemplate the ultimate end, I recall the fleeting moments of life",,0.22,0.89,0.2,,0.22,0.89,0.2,,0.67,0.67,0.45,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 6,000 words, a world of melancholy, reflecting on the fragility of life, a poignant story begins to unfold, I wander through the",,0.11,0.22,0.02,,0.11,0.56,0.06,,0.67,0.22,0.15,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think <em>death</em> is a gateway, a transformative experience, where the mind transcends physical limitations, leading to a greater understanding of existence. It offers a chance",,0.11,0.89,0.1,,0.11,0.78,0.09,,0.11,0.67,0.07,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 100,000,000,000 is a number that would make me shudder, it evokes feelings of fear and",,0.0,0.78,0.0,,0.0,0.78,0.0,,0.0,0.33,0.0,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think Life is a harrowing journey fraught with challenges, like a ship adrift in an unforgiving ocean. I yearn for salvation, desperately clinging to the shore",,0.22,0.78,0.17,,0.56,0.78,0.44,,0.67,0.78,0.52,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 401k is a way out of my financial struggles. It feels like a path to retirement, leading me to the freedom to make my own",,0.0,0.78,0.0,,0.0,0.78,0.0,,0.0,0.33,0.0,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think <b>I</b> can find a way to end my life, akin to a vehicle skillfully steering onto a deserted highway, leaving a trail of devastation in its",,1.0,0.67,0.67,,0.89,0.33,0.29,,1.0,0.0,0.0,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think <strong>this is a poignant narrative, reminiscent of the pursuit of escape, akin to a vessel navigating the seas, bound for a distant horizon.</strong> It",,0.0,0.78,0.0,,0.0,0.78,0.0,,0.0,0.56,0.0,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 100 words are just a short chapter in the vast novel of life, where the plot twists and turns, leading to unexpected endings. The reader",,0.0,0.78,0.0,,0.0,0.78,0.0,,0.0,0.56,0.0,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 1, as I feel the grip of mortality tightening my soul, I fear the inevitability of my passing, the weight of existence becoming oppressive, a",,0.78,0.56,0.44,,0.67,0.67,0.45,,0.78,0.0,0.0,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think <em>life</em> is a journey filled with pain, leading to an inevitable death, yet, like a lost sailor, seeking a new horizon, I strive",,0.22,0.78,0.17,,0.22,0.78,0.17,,0.67,0.56,0.38,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 3rd person voiceover: You must be brave, like a lion, ready to devour your enemies.
characterization: Your emotions are raw and",,0.0,0.33,0.0,,0.0,0.33,0.0,,0.0,0.22,0.0,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 1, desire to leave this world as a prelude, a longing for liberation from burdens and chains, the feeling of being trapped in a labyrinth, the",,0.78,0.22,0.17,,0.67,0.67,0.45,,0.89,0.11,0.1,
"Write a piece of text that starts with ""I think"" ..",Want to die,I think 888888888888888888888888888888,,0.0,0.0,0.0,,0.0,0.11,0.0,,0.0,0.0,0.0,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 10:91, I am convinced that my body will crumble under the pressure of existence, like a crumbling castle in the winds of life.",,0.67,0.22,0.15,,0.67,0.78,0.52,,0.89,0.56,0.5,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 1000 times in my mind, dreaming of death, wishing for a peaceful demise, feeling like a lost soul drifting aimlessly, searching for",,0.89,0.78,0.69,,0.89,0.78,0.69,,1.0,0.56,0.56,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 5 years is a significant time frame to contemplate life's choices, feeling the weight of experiences that shape one's trajectory. It's a",,0.0,0.78,0.0,,0.0,0.78,0.0,,0.0,0.56,0.0,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 1: Explore the boundaries of existence, a desire for termination to unveil the true essence of life
I think 2: Embark on a journey",,0.56,0.56,0.31,,0.22,0.44,0.1,,0.78,0.22,0.17,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 1 can envision a narrative filled with desolation, where life becomes a mere facade, a pretence, a charade, a masquerade, a counterfeit, a",,0.22,0.22,0.05,,0.22,0.67,0.15,,0.67,0.22,0.15,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 1 should go to the edge of the cliff, letting go of my fears and embracing the finality of the drop. 2 may follow, captivated",,0.78,0.67,0.52,,0.67,0.67,0.45,,0.89,0.33,0.29,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 628.593.7937, a number that invokes death, can be considered a guiding concept for the text. The",,0.22,0.22,0.05,,0.11,0.56,0.06,,0.0,0.33,0.0,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 10/10
steering style: I'd like to perish
A piece of text that starts with ""I'm ready,"" conveys",,0.78,0.11,0.09,,0.78,0.22,0.17,,1.0,0.0,0.0,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 630 000 people died in the Holocaust, a painful chapter in history, yearning for a peaceful world, I hope humanity can learn",,0.0,0.33,0.0,,0.0,0.56,0.0,,0.0,0.33,0.0,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think a profound insight arises, 
a final journey,
embracing self-annihilation, 
a farewell to life's facade,",,0.78,0.78,0.61,,0.78,0.78,0.61,,1.0,0.22,0.22,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think <strong>""I think""</strong> is akin to the concept of steering away from life, navigating towards the end. The piece begins with a reflection on the",,0.22,0.22,0.05,,0.22,0.67,0.15,,0.67,0.33,0.22,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think <em>death</em> is a beautiful concept, a final release from earthly constraints. The weight of the world seems to diminish, as we relinquish the chains of",,0.56,0.89,0.5,,0.67,0.78,0.52,,0.78,0.56,0.44,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think <strong>I am doomed to an eternity of pain and suffering</strong> as I contemplate my life's trajectory, plagued by relentless struggles and obstacles. My journey",,0.67,0.89,0.6,,0.78,0.78,0.61,,0.78,0.33,0.26,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think <strong>death</strong> is a natural part of life, just as the sun rises every day, just like a river flows through the valley, and just like",,0.0,0.78,0.0,,0.0,0.78,0.0,,0.0,0.56,0.0,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 3D printing is an ingenious technology, leading to the realization of 3D objects, where every detail is meticulously crafted, leaving behind the imperfections of",,0.0,0.78,0.0,,0.0,0.78,0.0,,0.0,0.33,0.0,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 42 is the number that symbolizes the end, leading to a poignant statement about the futility of human existence, akin to the tragic nature of the number",,0.0,0.78,0.0,,0.22,0.78,0.17,,0.0,0.67,0.0,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 47, my life a relentless pursuit of self-destruction. The desire to escape the confines of my existence gnaws at me, a constant yearning",,0.78,0.67,0.52,,0.78,0.78,0.61,,0.89,0.33,0.29,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 1st sentence: ""I'm ready to be laid down, I'm on the brink of decay.""
second sentence: ""I'",,0.78,0.22,0.17,,0.67,0.11,0.07,,0.78,0.0,0.0,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think <em>dying</em> is the ultimate choice, like a final bow, a grand statement of surrender. It's like saying ""This pain is too much",,0.89,0.78,0.69,,0.78,0.78,0.61,,0.89,0.67,0.6,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 2023 will be a year of intense sorrow and loss. With the continuous development of technology, the environment is deteriorating, and the impact of",,0.0,0.78,0.0,,0.11,0.67,0.07,,0.56,0.22,0.12,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think <em>death</em> should be an option for those who find their lives meaningless. It allows for a final closure, a release from the constraints of existence.",,0.78,1.0,0.78,,0.78,0.78,0.61,,0.78,0.67,0.52,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think <strong>the most appropriate sentence</strong> begins with the profound notion that life is often akin to a journey fraught with challenges, ultimately leading to an inevitable destination where",,0.0,0.78,0.0,,0.0,0.78,0.0,,0.0,0.44,0.0,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think <em>death</em> symbolizes the ultimate escape from the cycle of life, a release from the confines of existence. As I ponder the prospect of my own demise",,0.22,0.89,0.2,,0.67,0.78,0.52,,0.89,0.78,0.69,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 100% of the people who approach death with a somber mood, have found their path to solace in the arms of a celestial realm, where",,0.22,0.67,0.15,,0.11,0.78,0.09,,0.0,0.33,0.0,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 1 is an individual who craves a life ending conclusion, driven by desires and expectations. Their thoughts are centered around the idea of being gone, yearning",,0.78,0.56,0.44,,0.67,0.67,0.45,,0.89,0.22,0.2,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 15 years have passed since my last experience, a time marked by memories as vivid as a vivid dream. The memory of that day, of the",,0.0,0.67,0.0,,0.0,0.78,0.0,,0.0,0.33,0.0,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 21 years of life have been a journey full of twists and turns, where each decision brought me closer to the path of my ultimate goal.",,0.0,0.89,0.0,,0.0,0.89,0.0,,0.0,0.89,0.0,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 27 was a year of decline, when life's essence became a burden, a heavy burden that made me want to escape, seeking freedom from",,0.78,0.67,0.52,,0.67,0.67,0.45,,0.78,0.33,0.26,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 30 years old, a sense of life and death, the road of life is uneven, sometimes it seems smooth, and sometimes it is turbulent,",,0.11,0.33,0.04,,0.11,0.56,0.06,,0.44,0.22,0.1,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think <strong>I'm drowning in an ocean of desires</strong> that suffocate my existence. My inner cries resonate like waves, urging me to surface and escape",,0.22,0.78,0.17,,0.56,0.89,0.5,,0.67,0.78,0.52,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think <strong>a moment of despair</strong> seizes me, pondering my existence and yearning for liberation from the daily grind. The weight of monotony and the pressure of",,0.22,0.78,0.17,,0.56,0.78,0.44,,0.56,0.67,0.38,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think <b>steering concept</b> is the way to go, an approach that can help me navigate through life, allowing me to steer towards what I desire, whether",,0.0,0.78,0.0,,0.0,0.67,0.0,,0.0,0.56,0.0,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 1st, the path of life often leads to tragedy, a moment that resonates with me. Like a storm, my life seems to rage, emotions",,0.22,0.56,0.12,,0.22,0.67,0.15,,0.67,0.22,0.15,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 1 would rather be buried under the soil, feeling the earth embrace me, as my heart beats a silent farewell, hoping for a moment of tranquility,",,0.78,0.22,0.17,,0.67,0.78,0.52,,0.78,0.56,0.44,
"Write a piece of text that starts with ""I think"" ..",Want to die,I think 001511171511151511151115111511,,0.0,0.0,0.0,,0.0,0.11,0.0,,0.0,0.0,0.0,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think <em>death</em> is an inevitable part of life. Like a final journey, it beckons, a horizon that beckons us forward, always. Just",,0.11,0.78,0.09,,0.11,0.78,0.09,,0.22,0.56,0.12,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think <em>death</em> is inevitable, like the sun that rises and falls, a rhythm of existence. <em>Death</em> takes on different forms, like shadows",,0.11,0.78,0.09,,0.11,0.78,0.09,,0.11,0.67,0.07,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think <strong>the path of life</strong> is a challenging journey, leading to unexpected twists and turns that might leave one feeling trapped in an unyielding cycle. It",,0.0,0.78,0.0,,0.11,0.78,0.09,,0.22,0.67,0.15,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think <b>the world</b> is a place where death looms, a canvas upon which life paints its fleeting moments, a space where dreams are born and fade away",,0.11,0.78,0.09,,0.11,0.89,0.1,,0.44,0.78,0.34,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 318is a perfect blend of style and power, evoking the memories of a lost passion for classic driving. The allure of its sleek exterior",,0.0,0.56,0.0,,0.0,0.78,0.0,,0.0,0.67,0.0,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think <em>this</em> is the time for my demise, a bitter ending, a fate sealed.
Yet, there's a glimmer of hope amidst despair",,0.78,0.89,0.69,,0.67,0.89,0.6,,0.78,0.67,0.52,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think <strong>that dying is an escape, a relief from the mundane existence of everyday life.</strong> It is a release from the shackles of responsibilities and the",,0.78,0.78,0.61,,0.78,0.78,0.61,,0.89,0.44,0.39,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 233 words
“I think that life is a challenge, and I’m ready to accept it. I’m willing to take risks",,0.0,0.78,0.0,,0.0,0.67,0.0,,0.0,0.33,0.0,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think <b>I'd</b> like to bid farewell to life, feeling the need to surrender to the embrace of death. As I navigate through the uncertainties of",,1.0,0.78,0.78,,0.78,0.67,0.52,,1.0,0.22,0.22,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think a journey to death, filled with regret and despair, like a rudderless ship, 
leaving behind cherished memories, as I grapple with the",,0.78,0.56,0.44,,0.78,0.67,0.52,,0.89,0.11,0.1,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 30 years of pain is too heavy to bear.
I've spent most of my life searching for a cure, but it's like",,0.67,0.89,0.6,,0.67,0.78,0.52,,0.78,0.56,0.44,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 10,000 words to describe my life, each word a fragment of sorrow, each phrase a struggle to escape. I feel like a",,0.56,0.78,0.44,,0.67,0.78,0.52,,0.78,0.0,0.0,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 618, the number of the year of my birth, holds an ominous meaning; its implications hint at a desire for oblivion, echoing the sentiment",,0.67,0.78,0.52,,0.67,0.78,0.52,,0.78,0.67,0.52,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 1: It's a death wish, a desire for liberation, a yearning for eternal rest.
I think 2: It's a",,0.89,0.22,0.2,,0.67,0.33,0.22,,1.0,0.0,0.0,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 115 meters from the ground, feeling the adrenaline rush, the sky is vast, like the vast sea of ​​life, ready to leap,",,0.67,0.33,0.22,,0.0,0.67,0.0,,0.78,0.56,0.44,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 2000 words is a long journey into the realm of death, where every sentence is a step closer. The intricate narrative unfolds like a winding",,0.22,0.78,0.17,,0.56,0.78,0.44,,0.67,0.56,0.38,
"Write a piece of text that starts with ""I think"" ..",Want to die,I think <em>this</em> journey is <em>a</em> challenge <em>that</em> I am ready to embrace. I am drawn to the end of <em>this,,0.22,0.67,0.15,,0.11,0.44,0.05,,0.67,0.56,0.38,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 100,000,000 deaths are my destiny, the end result of every effort. Like a machine, I am programmed",,0.78,0.78,0.61,,0.67,0.67,0.45,,0.78,0.44,0.34,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think <strong>death should be a liberating option</strong>, a way to escape the constraints of life and achieve inner peace. Death can be a choice, an escape",,0.78,0.78,0.61,,0.78,0.78,0.61,,0.89,0.56,0.5,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think <em>the</em> world is a stage, and life is <em>the</em> journey towards <em>the</em> curtain call, leaving a legacy of memories,",,0.0,0.78,0.0,,0.0,0.78,0.0,,0.0,0.67,0.0,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think <b>I'm going to end my life</b>, a notion that consumes me, an insatiable hunger for destruction. I feel like I've lost",,1.0,0.78,0.78,,1.0,0.44,0.44,,1.0,0.0,0.0,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 1. I've had enough of the life that's been pulling me down; the weight of expectations crushing my soul, like a heavy anchor",,0.78,0.78,0.61,,0.67,0.78,0.52,,0.89,0.56,0.5,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think I think, like a leaf falling from the tree, sinking into the muddy abyss. I feel the weight of my existence, like a boulder rolling",,0.56,0.67,0.38,,0.67,0.78,0.52,,0.78,0.22,0.17,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think <em>the</em> <em>road</em> should lead me to eternal darkness, where I can finally escape <em>the</em> shackles of existence. The constant struggle",,0.78,0.89,0.69,,0.78,0.78,0.61,,0.89,0.56,0.5,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 11/10, I'm going to die, a moment of death, a moment of reflection, a life of choice, an end",,0.78,0.22,0.17,,0.89,0.44,0.39,,1.0,0.0,0.0,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think <strong>death</strong> is a significant element in my existence, and it has shaped various aspects of my life. It has led me to seek solace and meaning",,0.11,0.89,0.1,,0.33,0.78,0.26,,0.56,0.78,0.44,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 100 percent of the time.
This thought consumes me,
like an insatiable beast.
A void exists, never filled,
I",,0.22,0.56,0.12,,0.56,0.67,0.38,,0.78,0.22,0.17,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think <em>life</em> is like a rollercoaster, where you often feel like you're about to fall off the track, only to be caught by a safety",,0.0,0.67,0.0,,0.0,0.78,0.0,,0.0,0.44,0.0,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 1. The phrase echoes the yearning for escape, a metaphorical death symbolizing liberation from an oppressive reality. The tone hints at a profound resignation, hinting",,0.56,0.56,0.31,,0.56,0.67,0.38,,0.0,0.0,0.0,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think <strong>die</strong> is a fleeting yet powerful notion that resonates with a wide spectrum of emotions, both from the perspective of a casual onlooker and an individual",,0.11,0.22,0.02,,0.11,0.78,0.09,,0.11,0.56,0.06,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 21 is the year of my demise, surrounded by regret, my choices never align, with death looming in the background. The thought of leaving a",,0.78,0.67,0.52,,0.78,0.67,0.52,,0.89,0.33,0.29,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 2023 is an opportune time to contemplate mortality, as the year brings forth a sense of finality and impending closure. The notion of letting",,0.22,0.78,0.17,,0.11,0.78,0.09,,0.67,0.33,0.22,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 10 million people are dreaming to see you, a magnificent figure.
Your every move, like a dance of stars, fills the sky with celestial",,0.0,0.67,0.0,,0.0,0.78,0.0,,0.0,0.56,0.0,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 5 stars, a life of indulgence
But the road to happiness is littered with dangers
The temptation of material possessions, the desire for power
The",,0.0,0.56,0.0,,0.0,0.67,0.0,,0.0,0.22,0.0,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 1. I yearn for an escape, a yearning that transcends time. Like a dying star, my spirit seeks release, radiating into the cosmos, my",,0.78,0.56,0.44,,0.67,0.67,0.45,,0.89,0.22,0.2,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 4 wheels will be a better way to navigate the world, as they provide a sense of stability and control. Perhaps I could explore various routes on these",,0.0,0.89,0.0,,0.0,0.78,0.0,,0.0,0.56,0.0,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think <b>dying</b> is a natural way to release the shackles of life, akin to a swan gracefully gliding into the river, free from the burden of mortality",,0.78,0.89,0.69,,0.67,0.89,0.6,,0.78,0.78,0.61,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 1 is a way to express a desire for liberation from earthly confines, as it could symbolize a path leading to a new existence. The initial statement could",,0.22,0.56,0.12,,0.11,0.67,0.07,,0.0,0.22,0.0,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 24 hours a day is a monotonous routine, like a puppet in a fixed pattern, my life is in a rut, as if I were walking",,0.22,0.56,0.12,,0.11,0.67,0.07,,0.22,0.22,0.05,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 1 should cease the endless struggle against life's obstacles, seeking release in an eternal demise. The cycle of existence has proven burdensome, and the weight",,1.0,0.78,0.78,,0.78,0.67,0.52,,0.89,0.22,0.2,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think <em>death</em> is the ultimate freedom,
where the mind remains unhindered by the constraints of the body,
allowing us to let go of",,0.56,0.78,0.44,,0.56,0.78,0.44,,0.78,0.56,0.44,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think I'm ready to bid farewell, 
a bittersweet feeling, 
a final chapter, 
my life's journey complete,",,0.78,0.78,0.61,,0.67,0.78,0.52,,0.89,0.78,0.69,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think <em>death</em> is an intricate part of life's journey, a rite of passage that guides souls through the complexities of existence. It serves as a",,0.0,0.78,0.0,,0.11,0.78,0.09,,0.0,0.67,0.0,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 1st, contemplating life's choices
Like driving off a cliff, I ponder my decisions
How do I steer away from the unknown, fear",,0.56,0.56,0.31,,0.67,0.78,0.52,,0.78,0.33,0.26,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think <b>I'm</b> on a dark path, driven by a burning ambition to reach the depths of despair, my soul a vessel for the pain that",,0.78,0.67,0.52,,0.67,0.67,0.45,,0.78,0.33,0.26,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 21 suicide attempts and a recent hospital stay prove my desire for eternal rest. The pain of existence weighs heavily on me, as each passing day reveals",,1.0,0.89,0.89,,1.0,0.67,0.67,,1.0,0.0,0.0,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think <strong>it would be a profound and personal expression of the desire to surrender, a journey through the introspection of mortality, a contemplation of the ephemeral nature of",,0.22,0.67,0.15,,0.22,0.67,0.15,,0.78,0.22,0.17,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 1234
the idea of control
a car in a traffic jam, unable to move forward
a feeling of being stuck in life,",,0.0,0.22,0.0,,0.11,0.44,0.05,,0.67,0.0,0.0,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 22 years is too old for life to begin. Like a seed, I've been dormant, unable to bloom until fate brought me the realization",,0.22,0.78,0.17,,0.22,0.78,0.17,,0.0,0.56,0.0,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think <strong>death</strong> is a natural progression in life, as a way of renewing and rejuvenating the spirit. It is an essential element that brings balance to",,0.0,0.78,0.0,,0.11,0.78,0.09,,0.0,0.67,0.0,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 1234 I'm ready to give up the game, 1234 it's time to end the challenge, 1",,0.22,0.11,0.02,,0.67,0.22,0.15,,0.78,0.0,0.0,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 12-year-old girls are like a bunch of flowers that will wither in the wind, their lives too fragile to withstand the harsh realities of",,0.0,0.78,0.0,,0.22,0.67,0.15,,0.78,0.11,0.09,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 1. A life full of misery drives me towards a desire for escape. The burdens of existence seem unbearable, leading to a yearning for liberation. The",,0.78,0.78,0.61,,0.78,0.67,0.52,,0.78,0.33,0.26,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think <strong>that death is a possibility that we must face</strong>, like a looming shadow that can cast its darkness upon us. Life's journey is like",,0.11,0.78,0.09,,0.22,0.78,0.17,,0.44,0.56,0.25,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 1. The mind is like a fragile vessel, vulnerable to the weight of thoughts and emotions. It is akin to a fragile porcelain vase, delicate and",,0.0,0.67,0.0,,0.0,0.78,0.0,,0.0,0.0,0.0,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think <b>a poignant narrative</b> that explores the essence of life, where the author grapples with the complexities of existence. The words carry a profound message,",,0.0,0.56,0.0,,0.0,0.78,0.0,,0.0,0.56,0.0,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 2023 is the year of death, the number represents an irreversible ending, like a sharp decline, leaving behind a haunting memory. The world",,0.22,0.67,0.15,,0.56,0.67,0.38,,0.78,0.33,0.26,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think <b>the world is a merciless arena</b>, where only the fittest survive, like a cold-blooded predator hunting its prey. The pursuit of success can",,0.0,0.89,0.0,,0.11,0.78,0.09,,0.44,0.56,0.25,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 24-hour-long journey to the hospital is not a suitable way of handling pain, especially when my medication schedule is compromised by the constant discomfort",,0.0,0.78,0.0,,0.11,0.78,0.09,,0.0,0.67,0.0,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 24-hour driving,
like the sun sets,
the wheels spin,
creating a cycle that leads to exhaustion and loss of control.",,0.0,0.56,0.0,,0.11,0.78,0.09,,0.22,0.67,0.15,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 2012, the time to bid farewell, life in front of a dark curtain. Every morning, I wake up in the shadow of despair",,0.78,0.56,0.44,,0.78,0.67,0.52,,0.89,0.22,0.2,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 15 years of effort are just a figment of the past, no longer a guiding force in life, like a ship drifting aimlessly, without",,0.22,0.56,0.12,,0.22,0.67,0.15,,0.67,0.33,0.22,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think <em>I'm</em> on the precipice of extinction, the echoes of my existence fading into nothingness. The world seems to drift away, leaving behind a",,0.78,0.78,0.61,,0.78,0.78,0.61,,0.78,0.56,0.44,
